,music_id,chroma_0_mean,chroma_0_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_centroid_mean,chroma_flux_mean,chroma_max,chroma_min,chroma_spread_mean,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,onset_rate,spectral_centroid_mean,spectral_decrease_mean,spectral_flux_mean,spectral_rolloff_mean,spectral_spread_mean,zcr_mean,zcr_std,category
0,0,610.2438354492188,723.30322265625,841.0667114257812,951.9359741210938,475.2034912109375,395.0268249511719,461.6653137207031,588.1529541015625,526.840087890625,1172.410888671875,400.398193359375,500.2935791015625,687.1569213867188,666.3244018554688,1587.9407958984375,2279.98876953125,822.5941772460938,891.1458740234375,557.0881958007811,648.2227172851562,677.6409301757812,778.7139892578125,985.0948486328124,1269.1773681640625,5.82333962510562,1225.8548583984375,12414.814453125,20.777339935302734,8.879589656737233,0.6575785875320435,0.5214960575103761,-0.048686370253562934,0.5263929963111877,0.1970204561948776,0.7186001539230347,0.28370359539985657,0.403687059879303,0.08277369290590286,1.1874337196350098,0.11039508134126663,0.977974534034729,0.9688506126403807,0.935746967792511,1.334602117538452,0.6713415384292603,0.08846930414438248,0.6724022626876831,0.4353451132774353,0.64170241355896,0.0923190861940384,0.7229678630828857,0.18621329963207245,0.4241564869880676,4.0648600621945805,16.81947583216941,-0.057720210760742234,1.9374462366104128,816.6666666666665,962.1322194093584,179.09886030741163,145.2617227798771,1
1,1,285.1338806152344,640.0444946289062,173.10154724121094,280.85693359375,345.64691162109375,840.713134765625,319.384765625,992.1170043945312,408.493896484375,965.5126342773438,274.60455322265625,432.16241455078125,207.5679931640625,487.9999084472656,295.2220764160156,859.7652587890625,289.82757568359375,617.9605102539062,222.30670166015625,558.6995239257811,162.05368041992188,221.17788696289062,172.43336486816406,353.0543212890625,5.454784198996551,624.405029296875,16683.01171875,10.393460273742676,9.810698814766676,-0.4060503244400024,0.6410408616065979,-0.11271671950817108,0.8246732950210571,-0.21710523962974548,0.675956130027771,-0.3084426522254944,0.9714768528938292,-0.03136279061436653,1.1820281744003296,-0.09619151055812836,0.8093011975288391,-0.2315283268690109,0.5183457732200623,1.592011332511902,0.5794596672058105,0.3310730457305908,0.59543776512146,0.1201181337237358,0.6262875199317932,-0.131108358502388,0.6074618101119995,0.05679889395833016,0.5192159414291382,1.1661483784984452,10.919570195634387,-0.5142439763606582,0.7168649435043335,752.1929824561403,701.3118747835199,117.86405066625773,111.85064854009435,3
2,2,973.6271362304688,1876.8148193359373,340.3459777832031,321.84991455078125,409.1982421875,500.5921936035156,1037.394775390625,1740.8067626953125,496.5811462402344,821.1677856445312,281.6993713378906,560.2132568359375,207.0788116455078,382.15899658203125,215.3001708984375,291.63751220703125,235.3960723876953,330.2769775390625,302.7757263183594,377.3771057128906,390.2516784667969,765.5078125,294.080810546875,434.328125,4.616400762527607,1015.3615112304688,25226.927734375,0.1992892622947693,12.431308868757036,-0.3295391499996185,0.5333423614501953,-0.43354880809783936,0.40735098719596863,-0.4752269983291626,0.6690512895584106,-0.20656968653202054,0.6937764286994934,0.26200997829437256,0.5231283903121948,0.419737696647644,0.4784085154533386,-0.12075656652450563,0.429511696100235,2.219021797180176,0.4136449098587036,-0.07021617144346237,0.4517118036746979,0.5101827383041382,0.5296344757080078,-0.2002742886543274,0.5595332980155945,0.3291701376438141,0.5597124695777893,2.9653487338960463,18.39622924223516,-0.015406145939736025,0.8779086470603943,537.280701754386,356.60376923148664,99.59028035482807,59.52386506443885,0
3,3,420.0675354003906,1119.8011474609377,343.8859558105469,610.7281494140625,246.0295867919922,378.46380615234375,323.6509704589844,989.419921875,367.1583557128906,662.7144165039062,512.8023071289061,958.6978759765624,312.5680236816406,458.0864868164063,327.8902893066406,480.9188232421875,259.6072998046875,297.22021484375,419.25238037109375,604.6251831054688,566.705810546875,862.625732421875,418.009521484375,579.339111328125,5.5662709694518675,1086.9715576171877,18256.29296875,3.912804126739502,9.178799742150927,-0.03365131095051765,0.6851698756217957,-0.01819766312837601,0.6317339539527893,0.02266291901469231,0.6586192846298218,-0.14133954048156738,0.6947168707847595,-0.25908607244491577,0.6661694049835205,-0.24508415162563324,0.5771262049674988,-0.6821324825286865,0.5743368864059448,1.728600263595581,0.5348293781280518,-0.2928715050220489,0.5211482644081116,0.2581770718097687,0.6085487008094788,-0.2482396513223648,0.6742779016494751,0.11758203059434892,0.6677799224853516,4.264771212794314,14.935188886165216,-0.3392349425349843,1.2270011901855469,709.2105263157895,711.8679031432214,133.72603867814507,87.04841249348931,0
4,4,997.0386352539062,1380.1431884765625,928.1370239257812,997.9470825195312,989.30810546875,1351.6212158203125,1103.67626953125,1540.8741455078125,871.4239501953125,1364.1575927734375,760.905029296875,987.6296997070312,946.4207763671876,1221.00927734375,759.48046875,816.3308715820312,680.991455078125,787.6881713867188,756.1513671875,768.5279541015625,1112.605224609375,1218.398193359375,1201.067138671875,1438.161376953125,5.634470831021306,2080.548583984375,14297.3798828125,7.034703254699707,10.281579069986432,0.4484698176383972,0.4928998351097107,0.14911849796772006,0.5518653392791748,-0.011100016534328459,0.539415180683136,-0.050659477710723884,0.44365525245666493,0.20650452375411987,1.1913315057754517,-0.00027012315695174044,1.005010962486267,0.4061678647994995,0.6804758310317993,1.8530254364013672,0.6825777888298035,0.5972067713737488,0.583374559879303,0.7766326665878296,0.56174236536026,0.4745253920555115,0.5480208396911621,0.4493407309055328,0.5778637528419495,7.309610560267591,27.471442777912426,0.022274398037954432,3.17104721069336,881.140350877193,1621.5896889409387,248.65579260529668,162.66157500406257,1
5,5,1445.304931640625,1476.0391845703125,975.1109008789062,765.7696533203125,979.5845947265624,773.0107421875,1370.596435546875,1402.0264892578125,1141.7703857421875,784.7809448242188,1227.2950439453125,1080.589599609375,1059.394775390625,725.850341796875,1179.13720703125,826.7392578125,1201.9512939453125,1410.9068603515625,1132.6278076171875,917.5309448242188,1129.9539794921875,1262.173583984375,960.0639038085938,655.0377807617188,5.1501610720238284,2041.8026123046875,19450.431640625,13.03700351715088,10.88959243609212,0.13036957383155826,0.5057523846626282,0.0749160647392273,0.5062720775604248,0.16388137638568878,0.4961618483066559,0.06138782948255539,0.4800324738025665,0.08617479354143143,0.8776556849479675,0.24494031071662906,0.5487141609191895,0.1322440356016159,0.5672970414161682,1.1711639165878296,0.4931771457195282,0.09272809326648712,0.5077150464057922,0.24163904786109924,0.5329208374023438,0.06688328087329865,0.5579387545585632,-0.01843971759080887,0.5807580947875977,9.721813982783962,29.864336281239535,0.01903624512583636,3.0094456672668457,1246.4912280701753,2454.94394882922,376.9023176311107,142.86561940240298,3
6,6,136.05728149414062,263.10354614257807,166.11270141601562,321.8442687988281,202.85716247558597,496.8667602539063,129.94952392578122,222.08497619628903,162.37734985351562,263.88259887695307,178.26535034179688,371.59368896484375,216.4884033203125,439.47589111328125,181.3362274169922,308.33294677734375,256.1644897460937,554.14697265625,308.8009948730469,713.8662109375,224.24937438964844,502.8784790039063,215.1317596435547,502.5330810546875,5.452290666355727,862.9660034179688,6950.9482421875,0.07111691683530807,8.069956145542111,-0.026186451315879825,0.7108082771301271,-0.07965375483036041,0.9312047958374025,-0.22500577569007876,0.9304185509681702,0.08949952572584152,1.0376641750335691,0.009847229346632956,1.097940444946289,-0.007674657739698888,0.5851318836212158,0.960887372493744,0.5007123351097107,1.0518805980682373,0.3983083069324493,0.2872662842273712,0.4648517668247223,0.5234135389328003,0.5791370868682861,0.34882035851478577,0.6503864526748657,0.4686851799488068,0.7227814197540283,3.9982230119946687,22.676704455853173,0.005744956345285338,0.8479973077774048,859.6491228070175,401.9733023553273,68.1703728036831,50.07578472832639,3
7,7,261.43359375,519.9352416992189,251.2635803222656,331.6242980957031,230.93624877929688,309.26751708984375,207.99449157714844,300.9064636230469,231.51080322265625,316.4669189453125,202.6661376953125,244.65928649902344,220.4907989501953,309.4898681640625,184.7068328857422,227.95855712890625,184.7388610839844,239.2815093994141,193.89491271972656,299.7896728515625,204.2190093994141,270.11993408203125,259.912109375,349.2774353027344,5.481004856687725,622.87060546875,8745.78515625,4.594523906707764,12.093879224356582,-0.18869894742965695,0.6952418088912964,-0.075156569480896,0.7375123500823975,-0.14572151005268094,0.5475492477416992,-0.3138183951377869,0.6039486527442932,-0.1901265233755112,0.8280959725379944,-0.2104725539684296,0.6361328363418579,-0.5060122013092041,0.5498903393745422,0.7509285807609558,0.4396260380744934,0.09402748197317123,0.7261024117469788,0.5207058787345886,0.7388191223144531,0.1871124804019928,0.7006217837333679,0.18619176745414734,0.7883760929107666,4.0315415370946255,15.730340087989086,-0.4255876324116334,0.9552894234657288,881.140350877193,2743.526930604869,162.45845974298146,145.97823986219396,0
8,8,637.7635498046875,1354.918701171875,345.05865478515625,365.69805908203125,511.9418029785156,578.3807983398438,520.8037719726561,791.3495483398438,757.431640625,1493.947998046875,539.2408447265625,829.6957397460938,616.8704833984375,1038.4176025390623,411.21771240234375,579.4635620117188,340.3126525878906,385.8478393554688,416.77227783203125,498.0316467285156,406.0487365722656,422.8579406738281,459.7537841796875,725.8162841796875,5.053205515936039,844.10986328125,16566.734375,1.3586000204086304,10.99707313303124,-0.3398939073085785,0.5259338021278381,-0.1811377853155136,0.4517433941364288,-0.17526590824127194,0.4561006724834442,0.5005643367767334,0.4469040930271149,0.3216935694217682,1.1913819313049316,-0.08045513182878494,0.9457748532295228,-0.8989007472991943,0.4923729002475738,1.2446941137313845,0.5150599479675293,0.4568222165107727,0.5803616046905518,0.4992714524269104,0.4938341081142426,0.34268251061439514,0.42537757754325867,0.0042855083011090755,0.4245397448539734,3.498445135495336,25.621163818707647,-0.07164529901362472,0.8861514329910278,1310.9649122807014,1083.7468658924636,160.16595512982684,116.47487428257018,3
9,9,794.3375244140625,1034.7630615234377,839.8953247070312,1164.6947021484375,868.8056640625,1119.548583984375,655.2904052734375,819.2925415039062,758.75146484375,1068.1197509765623,1060.84130859375,1595.50634765625,1511.24072265625,2186.197998046875,1178.6845703125,1929.9859619140625,826.3997802734375,1349.59765625,886.3432006835938,1525.381591796875,1108.0902099609377,1679.8389892578125,1224.0059814453125,1921.04150390625,5.57099514072208,3597.134521484375,22166.73828125,26.84977912902832,9.767908138850645,0.4865326881408691,0.4801135957241058,0.1640835553407669,0.5499187707901001,0.1898341327905655,0.6590921878814697,0.029107248410582542,0.6147862672805786,-0.040605757385492325,1.1797641515731812,-0.16143245995044708,0.8631025552749634,-0.5604356527328491,0.8120211362838745,0.7699037194252014,0.6159689426422119,0.36773335933685297,0.5582494735717773,0.7503870129585266,0.4836004376411438,0.02687652036547661,0.5602665543556213,0.2442520260810852,0.4602288007736206,9.896946679476402,71.71650937844389,0.01029938226850619,6.309929370880128,2686.40350877193,5751.400390783193,579.8175191539702,229.501017878294,2
